order_id,generation_time,origin,destination,deadline,status
ORD_00155,497,83,71,597,COMPLETED
ORD_00156,501,54,43,601,COMPLETED
ORD_00157,506,76,99,606,COMPLETED
ORD_00158,507,15,23,607,COMPLETED
ORD_00159,508,62,87,608,COMPLETED
ORD_00160,511,68,97,611,COMPLETED
ORD_00161,512,92,59,612,COMPLETED
ORD_00162,516,29,30,616,COMPLETED
ORD_00163,517,65,82,617,COMPLETED
ORD_00164,520,18,73,620,COMPLETED
ORD_00165,521,69,66,621,COMPLETED
ORD_00166,524,32,54,624,COMPLETED
ORD_00167,531,56,35,631,COMPLETED
ORD_00168,539,27,76,639,COMPLETED
ORD_00169,541,62,99,641,COMPLETED
ORD_00170,543,23,97,643,COMPLETED
ORD_00171,556,25,83,656,COMPLETED
ORD_00172,559,50,7,659,COMPLETED
ORD_00173,566,81,5,666,COMPLETED
ORD_00174,567,97,76,667,COMPLETED
ORD_00175,569,5,76,669,COMPLETED
ORD_00176,579,59,71,679,COMPLETED
ORD_00177,581,33,23,681,COMPLETED
ORD_00178,582,23,92,682,COMPLETED
ORD_00179,586,25,40,686,COMPLETED
ORD_00180,587,36,2,687,COMPLETED
ORD_00181,590,5,54,690,COMPLETED
ORD_00182,594,53,3,694,COMPLETED
ORD_00183,596,65,64,696,COMPLETED
ORD_00184,598,30,16,698,COMPLETED
ORD_00185,601,57,81,701,COMPLETED
ORD_00186,604,31,91,704,COMPLETED
ORD_00187,607,73,89,707,COMPLETED
ORD_00188,615,99,90,715,COMPLETED
ORD_00189,617,29,40,717,COMPLETED
ORD_00190,618,92,98,718,COMPLETED
ORD_00191,619,97,45,719,COMPLETED
ORD_00192,624,86,64,724,COMPLETED
ORD_00193,625,85,33,725,COMPLETED
ORD_00194,627,4,61,727,COMPLETED
ORD_00195,628,57,92,728,COMPLETED
ORD_00196,631,33,15,731,COMPLETED
ORD_00197,635,40,62,735,COMPLETED
ORD_00198,636,63,7,736,COMPLETED
ORD_00199,638,93,5,738,COMPLETED
ORD_00200,644,40,89,744,COMPLETED
ORD_00201,645,47,78,745,COMPLETED
ORD_00202,647,28,89,747,COMPLETED
ORD_00203,648,42,38,748,COMPLETED
ORD_00204,651,87,90,751,COMPLETED
ORD_00205,653,97,43,753,COMPLETED
ORD_00206,657,19,13,757,COMPLETED
ORD_00207,658,13,33,758,COMPLETED
ORD_00208,663,57,61,763,COMPLETED
ORD_00209,664,49,76,764,COMPLETED
ORD_00210,666,15,44,766,COMPLETED
ORD_00211,667,73,9,767,COMPLETED
ORD_00212,669,98,2,769,COMPLETED
ORD_00213,672,95,62,772,COMPLETED
ORD_00214,676,36,76,776,COMPLETED
ORD_00215,678,80,76,778,COMPLETED
ORD_00216,680,85,66,780,COMPLETED
ORD_00217,685,9,46,785,COMPLETED
ORD_00218,691,79,41,791,COMPLETED
ORD_00219,692,74,83,792,COMPLETED
ORD_00220,693,79,93,793,COMPLETED
ORD_00221,695,25,93,795,COMPLETED
ORD_00002,14,7,13,114,COMPLETED
ORD_00003,15,16,25,115,COMPLETED
ORD_00004,24,26,2,124,COMPLETED
ORD_00006,26,5,18,126,COMPLETED
ORD_00005,25,25,4,125,COMPLETED
